City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
279,uruzgan,32.8333,66.0,12.99,31,4,1.28,AF
280,keflavik,64.0049,-22.5624,3.06,58,100,5.19,IS
281,olinda,-8.0089,-34.8553,27.37,76,98,5.42,BR
282,alo,6.5486,4.2686,32.83,55,60,2.22,NG
283,lebowakgomo,-24.2,29.5,31.98,33,20,3.48,ZA
284,bandarbeyla,9.4942,50.8122,27.16,67,0,7.34,SO
285,saint-pierre,-21.3393,55.4781,28.09,70,0,0.73,RE
286,badger,64.8,-147.5333,-4.23,91,100,1.63,US
287,salyan,39.5936,48.9805,16.0,29,0,4.98,AZ
288,kavieng,-2.5744,150.7967,29.44,69,93,7.6,PG
289,arica,-18.475,-70.3042,22.04,80,87,0.82,CL
290,haiku-pauwela,20.9219,-156.3051,21.94,77,1,9.43,US
291,malayer,34.2969,48.8235,12.53,32,100,4.84,IR
292,nizhneudinsk,54.9076,99.0276,-13.45,97,29,1.32,RU
293,lihue,21.9789,-159.3672,20.24,94,43,3.68,US
294,salym,60.0625,71.4789,-7.02,95,100,3.27,RU
295,shihezi,44.3,86.0333,-1.3,86,98,0.86,CN
296,ta`u,-14.2336,-169.5144,27.84,71,100,2.63,AS
297,ancud,-41.8697,-73.8203,14.64,91,100,7.93,CL
298,karuzi,-3.125,30.1333,28.31,37,100,2.92,BI
299,kashgar,39.4547,75.9797,7.67,29,100,2.47,CN
300,banda aceh,5.5577,95.3222,26.3,82,100,3.39,ID
301,port lincoln,-34.7333,135.8667,17.16,75,0,9.09,AU
302,preobrazheniye,42.9019,133.9064,-2.65,49,0,1.74,RU
303,tabou,4.423,-7.3528,32.22,53,100,3.51,CI
304,mount isa,-20.7333,139.5,30.21,41,5,3.35,AU
305,cill airne,52.05,-9.5167,12.05,70,100,5.99,IE
306,zizur mayor,42.7879,-1.6907,9.89,82,100,6.49,ES
307,narvik,68.4384,17.4272,-0.77,81,96,1.49,NO
308,hailar,49.2,119.7,-15.25,93,100,2.78,CN
309,midvagur,62.0511,-7.1939,4.76,60,100,2.95,FO
310,remire-montjoly,4.9167,-52.2667,25.98,85,83,3.93,GF
311,kismayo,-0.3582,42.5454,29.12,61,67,6.34,SO
312,esmeraldas,-19.7625,-44.3139,24.45,50,0,4.37,BR
313,ravar,31.2656,56.8055,15.07,67,100,1.49,IR
314,lata,40.1629,-8.3327,13.43,84,99,2.7,PT
315,shalqar,47.8333,59.6,-0.22,90,100,6.77,KZ
316,loralai,30.3705,68.598,19.3,21,0,8.11,PK
317,mugia,43.1041,-9.2179,12.52,95,100,2.88,ES
318,fangshan,39.6983,115.9925,8.22,29,100,1.86,CN
319,arraial do cabo,-22.9661,-42.0278,25.82,75,3,1.78,BR
320,tocopilla,-22.092,-70.1979,22.29,69,99,1.73,CL
321,talcher,20.95,85.2167,26.23,6,0,4.17,IN
322,luderitz,-26.6481,15.1594,16.48,89,100,9.53,NA
323,page,36.9147,-111.4558,6.86,55,100,1.38,US
324,nacala,-14.5428,40.6728,31.21,62,4,4.02,MZ
325,xining,36.6167,101.7667,-0.2,47,74,3.13,CN
326,villiers,-27.0303,28.6006,31.32,26,0,2.03,ZA
327,dunedin,-45.8742,170.5036,11.22,79,15,2.27,NZ
328,kodiak,57.79,-152.4072,1.61,73,53,1.28,US
329,tonj,7.2737,28.6822,41.42,9,100,3.94,SS
330,adrar,20.5022,-10.0711,26.67,26,44,4.25,MR
331,san andres,12.5847,-81.7006,26.74,73,99,4.76,CO
332,ongjin,37.9347,125.3619,2.27,67,0,3.09,KP
333,pandan,14.0453,124.1694,26.09,90,15,3.44,PH
334,sinabang,2.4803,96.3801,25.23,89,100,2.24,ID
335,tampakan,6.4442,124.9264,24.51,89,77,1.4,PH
336,mandimba,-14.3548,35.6515,25.0,90,100,1.76,MZ
337,meghraj,23.5,73.5,31.25,8,0,3.05,IN
338,salzhemmendorf,52.067,9.5872,15.52,47,0,3.87,DE
339,kuta,-8.7233,115.1723,28.6,79,100,2.3,ID
340,ixtapa,20.7,-105.2,15.89,42,0,1.54,MX
341,ialibu,-6.2821,143.9935,14.43,98,100,1.56,PG
342,grajau,-5.8194,-46.1386,26.89,83,38,0.61,BR
343,fort bragg,35.139,-79.006,5.21,50,8,7.24,US
344,rongelap,11.1635,166.8941,26.72,81,0,10.59,MH
345,galle,6.0367,80.217,26.95,77,100,2.19,LK
346,richards bay,-28.783,32.0377,34.74,47,0,4.23,ZA
347,lorengau,-2.0226,147.2712,27.93,70,43,4.33,PG
348,lakatoro,-16.0999,167.4164,26.31,81,100,3.3,VU
349,matias barbosa,-21.8692,-43.3194,25.51,58,0,1.68,BR
350,hasaki,35.7333,140.8333,7.43,64,100,8.49,JP
351,vilyuysk,63.7553,121.6247,-24.38,100,98,1.32,RU
352,hovd,48.0056,91.6419,-16.17,94,68,0.98,MN
353,freetown,8.484,-13.2299,28.66,58,100,4.53,SL
354,as sulayyil,20.4607,45.5779,35.03,10,100,1.62,SA
355,bardai,11.65,7.2333,35.84,7,10,6.39,NG
356,cidade velha,14.9167,-23.6167,22.29,56,1,4.66,CV
357,floro,61.5996,5.0328,6.64,90,100,7.14,NO
358,juneau,58.3019,-134.4197,4.38,99,100,3.77,US
359,haizhou,34.5817,119.1289,4.8,55,98,1.63,CN
360,sann,26.0418,68.1378,32.86,10,0,2.8,PK
361,chiras,35.4167,65.9823,-3.73,86,100,2.0,AF
362,selfoss,63.9331,-20.9971,2.24,79,97,1.44,IS
363,popovo,43.35,26.2333,16.48,30,100,0.49,BG
364,lazaro cardenas,17.9583,-102.2,23.63,74,52,1.27,MX
365,walvis bay,-22.9575,14.5053,19.21,81,73,6.32,NA
366,crane,31.3974,-102.3501,11.0,48,98,10.63,US
367,jumla,29.2747,82.1838,5.78,71,0,3.03,NP
368,flying fish cove,-10.4217,105.6791,28.03,78,100,1.67,CX
369,chiang klang,19.2938,100.8617,27.41,32,9,0.23,TH
370,fabens,31.5023,-106.1586,12.75,14,100,2.42,US
371,ma'rib,15.4591,45.3253,34.98,8,0,5.42,YE
372,cova figueira,14.8905,-24.2934,15.42,65,7,7.05,CV
373,edd,13.9297,41.6925,32.82,46,5,11.39,ER
374,mount pearl,47.5166,-52.7813,-2.05,79,100,3.7,CA
375,bowen,-20.0167,148.2333,25.95,84,0,3.77,AU
376,fougamou,-1.2154,10.5838,31.28,62,57,1.76,GA
377,kenai,60.5544,-151.2583,1.39,91,100,3.65,US
378,kharp,66.8014,65.8081,-16.76,100,100,1.03,RU
379,zhezqazghan,47.7833,67.7667,-0.96,87,82,10.65,KZ
380,arkhangel'sk,64.5401,40.5433,0.08,98,100,2.54,RU
381,prince rupert,54.3161,-130.3201,5.0,78,100,2.93,CA
382,maragogi,-9.0122,-35.2225,28.86,69,17,5.31,BR
383,hirara,24.8,125.2833,17.85,77,100,14.26,JP
